yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,SF,BA,OBP,SLG,OPS,RA,ER,ERA,ERA+,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,TEX,TEX,W,4,162,81,71,91,N,N,N,N,848,5648,1601,1063,330,35,173,580,922,69,47,39,48,0.283463173,0.351543943,0.446175637,0.79771958,974,876,5.52,86.36316849,3,4,39,4287,1683,202,661,918,135,162,0.978,Texas Rangers,The Ballpark at Arlington,2588401,102,102,TEX,TEX,TEX
2000,AL,TOR,TOR,E,3,162,81,83,79,N,N,N,N,861,5677,1562,969,328,21,244,526,1026,89,34,60,34,0.275145323,0.341114817,0.469261934,0.810376751,908,821,5.14,95.2133143,15,4,37,4312,1615,195,560,978,100,176,0.984,Toronto Blue Jays,Skydome,1705712,103,103,TOR,TOR,TOR
2001,AL,ANA,ANA,W,3,162,81,75,87,N,N,N,N,691,5551,1447,988,275,26,158,494,1001,116,52,77,53,0.260673752,0.326801619,0.404972077,0.731773697,730,671,4.2,105.7689589,6,1,43,4313,1452,168,525,947,103,142,0.983,Anaheim Angels,Edison International Field,2000919,101,101,ANA,ANA,ANA
2001,NL,ARI,ARI,W,1,162,81,92,70,Y,N,Y,Y,818,5595,1494,967,284,35,208,587,1052,71,38,57,36,0.267024129,0.340717131,0.441823056,0.782540188,677,627,3.87,118.0416399,12,13,34,4379,1352,195,461,1297,84,148,0.986,Arizona Diamondbacks,Bank One Ballpark,2736451,108,107,ARI,ARI,ARI
2001,NL,ATL,ATL,E,1,162,81,88,74,Y,N,N,N,729,5498,1432,971,263,24,174,493,1039,85,46,45,52,0.260458348,0.323587385,0.411967988,0.735555373,643,578,3.59,120.2445537,5,13,41,4342,1363,153,499,1133,103,133,0.983,Atlanta Braves,Turner Field,2823530,103,102,ATL,ATL,ATL
2001,AL,BAL,BAL,E,4,162,80,63,98,N,N,N,N,687,5472,1359,937,262,24,136,514,989,133,53,77,49,0.248355263,0.319044503,0.379568713,0.698613216,829,744,4.67,89.76697636,10,6,31,4297,1504,194,528,938,125,137,0.979,Baltimore Orioles,Oriole Park at Camden Yards,3094841,95,96,BAL,BAL,BAL
2001,AL,BOS,BOS,E,2,161,81,82,79,N,N,N,N,772,5605,1493,950,316,29,198,520,1131,46,35,70,41,0.266369313,0.334028223,0.439072257,0.77310048,745,667,4.15,106.8907571,3,9,48,4344,1412,146,544,1259,113,129,0.981,Boston Red Sox,Fenway Park II,2625333,102,101,BOS,BOS,BOS
2001,AL,CHA,CHW,C,3,162,81,83,79,N,N,N,N,798,5464,1463,920,300,29,214,520,998,123,59,52,51,0.267752562,0.334319041,0.450768668,0.785087708,795,725,4.55,99.89857856,8,9,51,4300,1465,181,500,921,118,149,0.981,Chicago White Sox,Comiskey Park II,1766172,104,103,CHW,CHA,CHA
2001,NL,CHN,CHC,C,3,162,81,88,74,N,N,N,N,777,5406,1409,915,268,32,194,577,1077,67,36,66,53,0.26063633,0.336283186,0.429707732,0.765990918,701,643,4.03,103.8725297,8,6,41,4311,1357,164,550,1344,109,113,0.982,Chicago Cubs,Wrigley Field,2779465,95,95,CHC,CHN,CHN
2001,NL,CIN,CIN,C,5,162,81,66,96,N,N,N,N,735,5583,1464,962,304,22,176,468,1172,103,54,65,40,0.26222461,0.32439896,0.4191295,0.743528461,850,765,4.77,97.05739536,2,2,35,4328,1572,198,515,943,138,136,0.978,Cincinnati Reds,Cinergy Field,1879757,105,105,CIN,CIN,CIN
2001,AL,CLE,CLE,C,1,162,80,91,71,Y,N,N,N,897,5600,1559,1016,294,37,212,577,1076,79,41,69,62,0.278392857,0.349556119,0.457678571,0.807234691,821,746,4.64,94.85610696,3,4,42,4340,1512,148,573,1218,107,137,0.982,Cleveland Indians,Jacobs Field,3175523,100,100,CLE,CLE,CLE
2001,NL,COL,COL,W,5,162,81,73,89,N,N,N,N,923,5690,1663,1065,324,61,213,511,1027,132,54,61,50,0.292267135,0.354087452,0.482952548,0.837040001,906,841,5.29,101.7433589,8,8,26,4290,1522,239,598,1058,96,167,0.984,Colorado Rockies,Coors Field,3166821,122,122,COL,COL,COL
2001,AL,DET,DET,C,4,162,81,66,96,N,N,N,N,724,5537,1439,949,291,60,139,466,972,133,61,51,49,0.259888026,0.320498116,0.409427488,0.729925603,876,795,5.01,80.49661884,16,2,34,4288,1624,180,553,859,131,164,0.979,Detroit Tigers,Comerica Park,1921305,93,95,DET,DET,DET
